SAMPLE	AdjustFactor
11000.p1	0.932735879800737
11000.s1	1.13982278705702
11002.p1	0.830002525544566
11002.s1	0.861215451081617
11003.p1	0.855589497669498
11003.s1	0.776314852398046
11004.p1	1.01486396431896
11004.s1	0.918539638768068
11006.p1	0.915440164481965
11006.s1	0.872415572172949
11008.p1	0.931463280171027
11008.s1	1.16207836334391
11009.p1	1.15764491143717
11009.s1	1.13282468029414
11010.p1	0.976248395860961
11010.s1	1.0687566547515
11012.p1	1.02622282208463
11012.s1	0.975846844202637
11013.p1	1.20091827917164
11013.s1	1.08342838717258
11014.p1	1.12675201664005
11014.s1	1.01815546629182
11017.p1	0.953621753943108
11017.s1	1.00170211325714
11018.p1	0.783664793215088
11018.s1	0.756264517326013
11023.p1	1.38990215916113
11023.s1	1.28881641419343
11024.p1	1.06141440575167
11024.s1	1.14602908071093
11026.p1	0.979236760805775
11026.s1	0.90797152927713
11027.p1	1.14979783784734
11027.s1	1.04830911848516
11028.p1	0.91368117782978
11028.s1	0.988136447689529
11029.p1	0.843099275438819
11029.s1	0.830617802167694
11030.p1	1.11084352121874
11030.s1	1.04947359050433
11031.p1	0.984219938212389
11031.s1	0.948079280672816
11033.p1	0.919837178072217
11033.s1	0.915829036975828
11037.p1	1.1517326542046
11037.s1	1.07847396290491
11038.p1	0.899077193840282
11038.s1	0.866551407516994
11041.p1	1.10604608550603
11041.s1	1.16150774183348
11042.p1	0.968846520073675
11042.s1	0.795431650283993
11043.p1	0.995087926393307
11043.s1	1.08258598799368
11045.p1	0.975525658804587
11045.s1	0.91201601514281
11046.p1	1.10407672190088
11046.s1	1.10286191896478
11047.p1	0.798049215529898
11047.s1	0.829390979863934
11048.p1	1.08741532382847
11048.s1	1.10619040886475
11051.p1	1.41605990186166
11051.s1	1.38663104316688
11054.p1	1.34185130746461
11054.s1	1.21396465379443
11055.p1	0.778490661073115
11055.s1	0.770455729909106
11056.p1	1.03087525826094
11056.s1	1.12127470809465
11057.p1	1.12369138255193
11057.s1	1.08568517392257
11060.p1	0.92228272582218
11060.s1	1.08138271469167
11062.p1	1.13117638742116
11062.s1	1.04831996461414
11063.p1	1.04801265488822
11063.s1	0.98887984122729
11064.p1	0.975234369603814
11064.s1	1.02622282208463
11066.p1	0.858588128670065
11066.s1	0.960041891925856
11067.p1	0.999708791443635
11067.s1	1.13692226051404
11069.p1	0.863429486821689
11069.s1	0.777077969622524
11071.p1	0.937448910336471
11071.s1	1.08574584237182
11073.p1	0.885978263469652
11073.s1	0.884402884055474
11074.p1	1.00749173433304
11074.s1	0.955875996944605
11075.p1	1.20935487604703
11075.s1	1.32592538616032
11077.p1	0.912982677560531
11077.s1	0.975285492990459
11078.p1	0.997113523756892
11078.s1	1.02479433660071
11079.p1	0.986030117486146
11079.s1	1.03851438275173
11083.p1	0.816690469317365
11083.s1	0.955875996944605
11085.p1	0.886476216514323
11085.s1	0.87064975925362
11086.p1	0.84456545164436
11086.s1	0.957254143882848
11089.p1	0.744769815431423
11089.s1	0.799308601064226
11090.p1	0.990460236286426
11090.s1	1.06735279049079
11092.p1	1.09112391641044
11092.s1	1.04570776601453
11094.p1	1.0329153570611
11094.s1	1.25463791621097
11096.p1	1.03999429526271
11096.s1	0.994238563767486
11098.p1	1.07819566648635
11098.s1	1.00619289303481
11099.p1	1.00676630905655
11099.s1	1.08570250776521
11101.p1	0.899705656722325
11101.s1	0.923848089078919
11106.p1	1.01952149426989
11106.s1	1.04660500006851
11107.p1	1.33701755397003
11107.s1	1.12476626622579
11108.p1	1.10755609805823
11108.s1	1.17683280151463
11109.p1	1.00809249483693
11109.s1	1.07673299157245
11110.p1	1.07593994937011
11110.s1	1.15440318471851
11114.p1	1.11979557435057
11114.s1	1.21898860794143
11115.p1	1.03994714291587
11115.s1	1.10332417094587
11117.p1	0.889053324894998
11117.s1	0.83264216159842
11118.p1	0.870701061818033
11118.s1	0.881548823033941
11121.p1	0.753978226471611
11121.s1	0.826585901174361
11124.p1	1.0988675083722
11124.s1	1.19311428716949
